sample,raw_total_reads,clean_total_reads,clean_retention_rate,map_mapped_reads,map_mapping_rate,last_total_reads,last_retention_rate,paired_bam_total_reads,paired_bam_retention_rate
EPI-538_XH-MJJ,36412146,34162456,0.938216,34493448,0.998406,17497496,0.48054,17463851,0.998077
EPI-538_XH-MYD,39288286,37097956,0.94425,37422677,0.99813,18165602,0.462367,18132314,0.998168
EPI-538_XH-MZH,40510384,38521996,0.950917,39045785,0.99849,18241948,0.450303,18176659,0.996421
EPI-538_XH-QJ,37422168,34526720,0.922627,34841606,0.997701,17856892,0.477174,17821226,0.998003
EPI-538_XH-RWA,35780346,33494750,0.936121,33757166,0.998266,19143136,0.535018,19119486,0.998765
EPI-538_XH-RXJ,42713784,41789832,0.978369,41999943,0.999302,21651018,0.506886,21627564,0.998917
EPI-538_XH-SLX,42681496,41649712,0.975826,41956353,0.998665,19338972,0.4531,19304353,0.99821
EPI-538_XH-WFH,41529760,40457610,0.974184,40931352,0.998905,18652416,0.449134,18618905,0.998203
EPI-538_XH-WJQ,32982326,30209724,0.915937,30561398,0.998265,15413148,0.467315,15368596,0.997109
EPI-538_XH-WR,39413946,37547346,0.952641,38005379,0.998758,18761154,0.476003,18708146,0.997175
EPI-538_XH-WSP,39764466,36867480,0.927146,37215988,0.998305,20144221,0.506588,20116119,0.998605
EPI-538_XH-WTL,38276838,35977322,0.939924,36262740,0.998411,19895566,0.519781,19872272,0.998829
EPI-538_XH-WXC,39749960,36840914,0.926816,37191401,0.998298,17469653,0.439489,17441243,0.998374
EPI-538_XH-WZY,41522674,39968254,0.962565,40247746,0.995071,17573944,0.423237,17532189,0.997624
EPI-538_XH-XAN,36100512,33814138,0.936666,34112375,0.998526,17812893,0.493425,17783777,0.998365
EPI-538_XH-XGX,43697468,42644722,0.975908,43163254,0.998945,20033541,0.45846,19973229,0.996989
EPI-538_XH-XJF,65289906,63499760,0.972582,45086278,0.704181,18708434,0.286544,18679687,0.998463
EPI-538_XH-XQP,38545510,37507646,0.973074,37760237,0.998277,17457419,0.452904,17433146,0.99861
EPI-538_XH-YBZ,38029648,36155456,0.950718,36439609,0.998429,16885287,0.444003,16866504,0.998888
EPI-538_XH-YJC,19331394,18348516,0.949156,18460006,0.998695,10890048,0.563335,10870756,0.998228
EPI-538_XH-YJJ,39075154,37658606,0.963748,37939493,0.99887,20014865,0.512215,19984764,0.998496
EPI-538_XH-ZCX,42200012,40696556,0.964373,41031707,0.999023,20106795,0.476464,20091309,0.99923
EPI-538_XH-ZGR,35399306,32494462,0.917941,32768421,0.997672,17094224,0.482897,17070327,0.998602
EPI-538_XH-ZGW,43296646,41096750,0.94919,41571712,0.99864,20240725,0.467489,20190241,0.997506
EPI-538_XH-ZGY,43117438,40304400,0.934759,40652867,0.998703,22372675,0.518878,22345001,0.998763
EPI-538_XH-ZXL,42024472,39238984,0.933717,39661599,0.998212,20849961,0.496139,20804604,0.997825
EPI-538_XH-ZYY,36124452,34138730,0.945031,34473791,0.997934,17616767,0.487669,17579857,0.997905
EPI-538_XH-ZZH,37557030,36870462,0.981719,37118867,0.998719,16951593,0.451356,16926545,0.998522
EPI-542_XH-BX,45936088,43346706,0.943631,43720270,0.998941,21076618,0.458825,21039214,0.998225
EPI-542_XH-DFM,43109228,39826862,0.923859,40142735,0.998879,20599898,0.477854,20566109,0.99836
EPI-542_XH-GYB,46046250,43443146,0.943468,43815787,0.999079,21961454,0.476943,21916126,0.997936
EPI-542_XH-HXM,39354370,37136406,0.943641,37397199,0.998571,20235781,0.514194,20199910,0.998227
EPI-542_XH-LCP,45012274,42460608,0.943312,42759044,0.999014,21416809,0.475799,21381550,0.998354
EPI-542_XH-LPH,32259448,30286636,0.938845,30472001,0.998939,16181112,0.501593,16155398,0.998411
EPI-542_XH-LSQ,42388420,40882734,0.964479,41240809,0.999144,18119758,0.42747,18079802,0.997795
EPI-542_XH-LXG,44987632,41303570,0.918109,41782573,0.998568,21887617,0.486525,21836546,0.997667
EPI-542_XH-MQ,43200686,39668958,0.918248,39898625,0.998886,22923872,0.530637,22900268,0.99897
EPI-542_XH-RXT,49433446,47504914,0.960987,47817891,0.999281,24409446,0.493784,24379763,0.998784
EPI-542_XH-SMZ,39907412,38860822,0.973775,38976505,0.999515,22225237,0.55692,22204229,0.999055
EPI-542_XH-SY,42722274,40024120,0.936844,40459323,0.998502,20257350,0.474164,20211333,0.997728
EPI-542_XH-TLY,50740248,47714744,0.940373,48304134,0.998949,23468941,0.462531,23397242,0.996945
EPI-542_XH-WF,42179346,40191998,0.952883,40515881,0.999067,19822758,0.469964,19779066,0.997796
EPI-542_XH-WJY,45612020,42772638,0.937749,43154876,0.998829,21880234,0.479703,21839964,0.99816
EPI-542_XH-XHA,50422488,49479392,0.981296,49773739,0.999509,26137731,0.518374,26107458,0.998842
EPI-542_XH-YHF,49198390,46039256,0.935788,46395036,0.998883,23182280,0.4712,23144672,0.998378
EPI-542_XH-ZGL,45921776,43946648,0.956989,44370112,0.999118,21012827,0.457579,20967610,0.997848
EPI-542_XH-ZHB,54292406,52887264,0.974119,53125783,0.999315,24382600,0.449098,24357714,0.998979
EPI-542_XH-ZRP,45095150,42361664,0.939384,42648139,0.998995,23637646,0.524173,23610919,0.998869
EPI-542_XH-ZYJ,40526532,38408682,0.947742,38571665,0.999012,22465177,0.554333,22441609,0.998951
EPI-542_XH-ZYN,43053162,40482070,0.940281,40845846,0.999006,19699882,0.457571,19655121,0.997728
EPI-559_XH-CB,32741046,31014570,0.947269,31166672,0.998973,19983610,0.610353,19960088,0.998823
