GO_ID	GO_Description	GO_Type	fold_enrichment	qvalue_norm	program_component
GO:0007264	small GTPase-mediated signal transduction	BP	2.319197508800385	0.06959601737851008	consensus_peak_C1
GO:0141124	intracellular signaling cassette	BP	1.570807409271961	0.06939236655676488	consensus_peak_C1
GO:0043502	regulation of muscle adaptation	BP	4.910821007431231	0.06820906508158132	consensus_peak_C1
GO:0006796	phosphate-containing compound metabolic process	BP	1.5528070366142024	0.06820906508158132	consensus_peak_C1
GO:0098562	cytoplasmic side of membrane	CC	3.5450211143297756	0.06803247740971032	consensus_peak_C1
GO:0006793	phosphorus metabolic process	BP	1.549733603591211	0.06767606055666628	consensus_peak_C1
GO:0098588	bounding membrane of organelle	CC	1.564314745482267	0.06735067596906304	consensus_peak_C1
GO:0044248	cellular catabolic process	BP	1.945494695187281	0.06711317132364808	consensus_peak_C1
GO:0032502	developmental process	BP	1.2276754887335044	0.0670692872863151	consensus_peak_C1
GO:0009611	response to wounding	BP	2.2195823625392532	0.0663224098306879	consensus_peak_C1
GO:0072683	T cell extravasation	BP	16.837391946229943	0.06618981933843462	consensus_peak_C1
GO:0071674	mononuclear cell migration	BP	3.3554018954736264	0.06586474124316444	consensus_peak_C1
GO:0010646	regulation of cell communication	BP	1.3641929729114008	0.06586474124316444	consensus_peak_C1
GO:0006954	inflammatory response	BP	2.074800721223177	0.065104817572654	consensus_peak_C1
GO:0044877	protein-containing complex binding	MF	1.8190688623389473	0.06405916253623248	consensus_peak_C1
GO:0071675	regulation of mononuclear cell migration	BP	4.078360650593274	0.062126234788383784	consensus_peak_C1
GO:0065009	regulation of molecular function	BP	1.6035113585603307	0.061468775155904515	consensus_peak_C1
GO:0005102	signaling receptor binding	MF	1.6509894860804384	0.060598689994954415	consensus_peak_C1
GO:0035886	vascular associated smooth muscle cell differentiation	BP	7.359306276957792	0.06044588676905353	consensus_peak_C1
GO:0030154	cell differentiation	BP	1.2920762425871561	0.06044588676905353	consensus_peak_C1
GO:0048869	cellular developmental process	BP	1.2916787873246718	0.06044588676905353	consensus_peak_C1
GO:0019901	protein kinase binding	MF	2.011102330427475	0.06033193877045222	consensus_peak_C1
GO:0045687	positive regulation of glial cell differentiation	BP	5.543577989586273	0.06032897681820823	consensus_peak_C1
GO:0010611	regulation of cardiac muscle hypertrophy	BP	5.162731757996968	0.06032897681820823	consensus_peak_C1
GO:0001666	response to hypoxia	BP	2.6654711661034822	0.06032897681820823	consensus_peak_C1
GO:0048731	system development	BP	1.2907399989272457	0.06032897681820823	consensus_peak_C1
GO:0071345	cellular response to cytokine stimulus	BP	1.9785238072904845	0.060183308367952694	consensus_peak_C1
GO:0010629	negative regulation of gene expression	BP	1.8251060553134726	0.060183308367952694	consensus_peak_C1
GO:0000122	negative regulation of transcription by RNA polymerase II	BP	1.7732611427984128	0.060164396325865045	consensus_peak_C1
GO:0042802	identical protein binding	MF	1.5223331349411346	0.05923562352582898	consensus_peak_C1
GO:0030522	intracellular receptor signaling pathway	BP	2.430203193296455	0.05872046100341144	consensus_peak_C1
GO:0070972	protein localization to endoplasmic reticulum	BP	5.3532924218029105	0.05870229120815951	consensus_peak_C1
GO:0016125	sterol metabolic process	BP	4.2086241575524825	0.05864151043144697	consensus_peak_C1
GO:0014743	regulation of muscle hypertrophy	BP	4.975681598143966	0.05857399581986281	consensus_peak_C1
GO:0006996	organelle organization	BP	1.3953259670908063	0.05824170502351332	consensus_peak_C1
GO:1901652	response to peptide	BP	1.8953410272565114	0.05761465178783885	consensus_peak_C1
GO:0043500	muscle adaptation	BP	4.128437213187573	0.057440063519362414	consensus_peak_C1
GO:0009898	cytoplasmic side of plasma membrane	CC	3.559916128051486	0.0569812518986723	consensus_peak_C1
GO:0048584	positive regulation of response to stimulus	BP	1.4840581611506227	0.05697969498924531	consensus_peak_C1
GO:2000051	negative regulation of non-canonical Wnt signaling pathway	BP	35.64686314956775	0.0568199485983822	consensus_peak_C1
GO:0080134	regulation of response to stress	BP	1.7102814614932489	0.0568199485983822	consensus_peak_C1
GO:0009725	response to hormone	BP	1.8407358738518989	0.05673908626015093	consensus_peak_C1
GO:0060337	type I interferon-mediated signaling pathway	BP	5.418871825924467	0.055432683558281584	consensus_peak_C1
GO:0071357	cellular response to type I interferon	BP	5.409129077305894	0.055423014913546134	consensus_peak_C1
GO:0043412	macromolecule modification	BP	1.4327112500517605	0.055423014913546134	consensus_peak_C1
GO:0006810	transport	BP	1.3244281948692944	0.055262810748166566	consensus_peak_C1
GO:0044093	positive regulation of molecular function	BP	1.7763033228216165	0.05508155979129969	consensus_peak_C1
GO:0036293	response to decreased oxygen levels	BP	2.5155502350867587	0.054962859866477566	consensus_peak_C1
GO:0048538	thymus development	BP	4.644385474051831	0.054891583434163387	consensus_peak_C1
GO:0009605	response to external stimulus	BP	1.5025894257905625	0.05489123214634516	consensus_peak_C1
GO:0048732	gland development	BP	2.0603759417560767	0.05468687683246926	consensus_peak_C1
GO:0034097	response to cytokine	BP	1.8707239450901783	0.05409032901981408	consensus_peak_C1
GO:1901698	response to nitrogen compound	BP	1.7551375490767058	0.054017874613909854	consensus_peak_C1
GO:0061572	actin filament bundle organization	BP	3.225175685865816	0.05388413907088219	consensus_peak_C1
GO:2000629	negative regulation of miRNA metabolic process	BP	6.21190794658154	0.05374778809205982	consensus_peak_C1
GO:0009893	positive regulation of metabolic process	BP	1.3461775390844997	0.05374778809205982	consensus_peak_C1
GO:0051234	establishment of localization	BP	1.3038739628062939	0.05374778809205982	consensus_peak_C1
GO:0017053	transcription repressor complex	CC	4.043819868704728	0.05350187279098841	consensus_peak_C1
GO:0034340	response to type I interferon	BP	5.124999583046246	0.05303270793907472	consensus_peak_C1
GO:0036211	protein modification process	BP	1.4309471993079164	0.05303270793907472	consensus_peak_C1
GO:0070482	response to oxygen levels	BP	2.4159183023241906	0.052750591944852473	consensus_peak_C1
GO:0002684	positive regulation of immune system process	BP	1.8178819474461523	0.05259068860666938	consensus_peak_C1
GO:0008283	cell population proliferation	BP	1.4764133914217517	0.05257738154500428	consensus_peak_C1
GO:0012501	programmed cell death	BP	1.51244351077703	0.05239912317559903	consensus_peak_C1
GO:0062012	regulation of small molecule metabolic process	BP	2.5635689208177928	0.05235945751669844	consensus_peak_C1
GO:0008219	cell death	BP	1.510246176138871	0.05211173899671427	consensus_peak_C1
GO:0072008	glomerular mesangial cell differentiation	BP	27.74721978243899	0.05209102253429973	consensus_peak_C1
GO:0003723	RNA binding	MF	1.666543326580386	0.052057823959401825	consensus_peak_C1
GO:0140888	interferon-mediated signaling pathway	BP	4.650050916302699	0.05191222592296002	consensus_peak_C1
GO:0031329	regulation of cellular catabolic process	BP	2.3084320885850476	0.05110659029868755	consensus_peak_C1
GO:0033036	macromolecule localization	BP	1.393127146673776	0.05110659029868755	consensus_peak_C1
GO:0042592	homeostatic process	BP	1.5311106194777995	0.05080414032340604	consensus_peak_C1
GO:0042974	nuclear retinoic acid receptor binding	MF	8.1838422293255	0.05075918320494625	consensus_peak_C1
GO:0019900	kinase binding	MF	1.868896772876753	0.05075918320494625	consensus_peak_C1
GO:0048513	animal organ development	BP	1.3327277118367844	0.050371848264953674	consensus_peak_C1
GO:0045934	negative regulation of nucleobase-containing compound metabolic process	BP	1.5501267090188209	0.04998366530386394	consensus_peak_C1
GO:0002685	regulation of leukocyte migration	BP	2.8857153021356163	0.04995133824226449	consensus_peak_C1
GO:0003712	transcription coregulator activity	MF	2.045550277686324	0.0497841291775305	consensus_peak_C1
GO:1902894	negative regulation of miRNA transcription	BP	6.260775271793292	0.04974917285215029	consensus_peak_C1
GO:0097300	programmed necrotic cell death	BP	7.02255460838379	0.04951638422001146	consensus_peak_C1
GO:0042060	wound healing	BP	2.2433636806251633	0.04951638422001146	consensus_peak_C1
GO:0030036	actin cytoskeleton organization	BP	1.8747745510209302	0.04948607758769487	consensus_peak_C1
GO:0032501	multicellular organismal process	BP	1.1849027421686416	0.04944187730727002	consensus_peak_C1
GO:0030097	hemopoiesis	BP	1.776110511733144	0.049339405554597995	consensus_peak_C1
GO:0010608	post-transcriptional regulation of gene expression	BP	2.234411912597276	0.049187024511690915	consensus_peak_C1
GO:0032870	cellular response to hormone stimulus	BP	1.9213207459283317	0.04917634334610946	consensus_peak_C1
GO:0006468	protein phosphorylation	BP	1.6561543076298282	0.04907636906564498	consensus_peak_C1
GO:0009968	negative regulation of signal transduction	BP	1.5980668385422243	0.04907636906564498	consensus_peak_C1
GO:0003725	double-stranded RNA binding	MF	5.404566769612442	0.0489744915858933	consensus_peak_C1
GO:0031099	regeneration	BP	2.697788849630901	0.048612425581999685	consensus_peak_C1
GO:1901265	nucleoside phosphate binding	MF	1.4965461290990225	0.04854119499511326	consensus_peak_C1
GO:0051093	negative regulation of developmental process	BP	1.6753417965661273	0.04839091741788945	consensus_peak_C1
GO:0016020	membrane	CC	1.1554166841873081	0.0483192925368281	consensus_peak_C1
GO:0035591	signaling adaptor activity	MF	3.4423308351291757	0.04819525784553478	consensus_peak_C1
GO:0006915	apoptotic process	BP	1.4949645630346646	0.04817173789166589	consensus_peak_C1
GO:0005773	vacuole	CC	1.9106926408293272	0.04814419065892449	consensus_peak_C1
GO:0001959	regulation of cytokine-mediated signaling pathway	BP	3.13961032157319	0.04805080559749688	consensus_peak_C1
GO:0032233	positive regulation of actin filament bundle assembly	BP	4.941089406863911	0.04798642843049758	consensus_peak_C1
GO:0045892	negative regulation of DNA-templated transcription	BP	1.5753376926282274	0.04777632751322523	consensus_peak_C1
GO:1901363	heterocyclic compound binding	MF	1.4716074446471372	0.04768945064637701	consensus_peak_C1
GO:0005925	focal adhesion	CC	2.2585572612769034	0.047640314171665296	consensus_peak_C1
GO:0140297	DNA-binding transcription factor binding	MF	1.9953381497549827	0.047611148053650514	consensus_peak_C1
GO:0060338	regulation of type I interferon-mediated signaling pathway	BP	6.583769966453472	0.04745130592183375	consensus_peak_C1
GO:0031100	animal organ regeneration	BP	4.876468203076541	0.04745130592183375	consensus_peak_C1
GO:0030258	lipid modification	BP	3.1069834678700774	0.04745130592183375	consensus_peak_C1
GO:0010604	positive regulation of macromolecule metabolic process	BP	1.3387006854100367	0.04745130592183375	consensus_peak_C1
GO:0061629	RNA polymerase II-specific DNA-binding transcription factor binding	MF	2.2065637955523396	0.047341671476955394	consensus_peak_C1
GO:0030695	GTPase regulator activity	MF	2.0600757104298837	0.047341671476955394	consensus_peak_C1
GO:0060589	nucleoside-triphosphatase regulator activity	MF	2.0600757104298837	0.047341671476955394	consensus_peak_C1
GO:0032101	regulation of response to external stimulus	BP	1.7218187922008326	0.04728143215284824	consensus_peak_C1
GO:1902679	negative regulation of RNA biosynthetic process	BP	1.5694847042443205	0.04722242105222923	consensus_peak_C1
GO:0048872	homeostasis of number of cells	BP	2.4082381845781264	0.047213428937518745	consensus_peak_C1
GO:0016032	viral process	BP	2.32971628180246	0.047031660590620736	consensus_peak_C1
GO:0008285	negative regulation of cell population proliferation	BP	1.7909743511980125	0.0470165055970775	consensus_peak_C1
GO:0051253	negative regulation of RNA metabolic process	BP	1.5433978432776478	0.046960025326846504	consensus_peak_C1
GO:0031401	positive regulation of protein modification process	BP	1.9078901881316614	0.04684690687365615	consensus_peak_C1
GO:0016310	phosphorylation	BP	1.585352447213373	0.04684690687365615	consensus_peak_C1
GO:0005765	lysosomal membrane	CC	2.4106023950022752	0.04681612815601685	consensus_peak_C1
GO:0098852	lytic vacuole membrane	CC	2.4106023950022752	0.04681612815601685	consensus_peak_C1
GO:0050793	regulation of developmental process	BP	1.3690156741834492	0.046641908192001987	consensus_peak_C1
GO:0006914	autophagy	BP	2.092839449500971	0.04640758686838849	consensus_peak_C1
GO:0061919	process utilizing autophagic mechanism	BP	2.092839449500971	0.04640758686838849	consensus_peak_C1
GO:0007166	cell surface receptor signaling pathway	BP	1.3626883576075537	0.046286370217475274	consensus_peak_C1
GO:0032869	cellular response to insulin stimulus	BP	2.866285012821118	0.046234154569502195	consensus_peak_C1
GO:0043434	response to peptide hormone	BP	2.1850470966577573	0.046234154569502195	consensus_peak_C1
GO:0048713	regulation of oligodendrocyte differentiation	BP	4.381810892846387	0.04617582424537606	consensus_peak_C1
GO:0010883	regulation of lipid storage	BP	5.632120296858692	0.046163539981823466	consensus_peak_C1
GO:0048534	hematopoietic or lymphoid organ development	BP	3.3529539023307615	0.04581388082643687	consensus_peak_C1
GO:0071456	cellular response to hypoxia	BP	3.01487778661815	0.045803089129623546	consensus_peak_C1
GO:0051017	actin filament bundle assembly	BP	3.010735085856869	0.04572581638080384	consensus_peak_C1
GO:0000166	nucleotide binding	MF	1.4771665297731547	0.04557890603692792	consensus_peak_C1
GO:0097084	vascular associated smooth muscle cell development	BP	13.477112954957066	0.045537676324685486	consensus_peak_C1
GO:0062013	positive regulation of small molecule metabolic process	BP	3.200797525496145	0.045340795917993795	consensus_peak_C1
GO:0008203	cholesterol metabolic process	BP	3.8129171954828704	0.045336376962571534	consensus_peak_C1
GO:0035770	ribonucleoprotein granule	CC	2.6640247707054012	0.04509812327081164	consensus_peak_C1
GO:0009967	positive regulation of signal transduction	BP	1.5047217684821776	0.04500793666648676	consensus_peak_C1
GO:0070266	necroptotic process	BP	6.955750285056764	0.04498563586817279	consensus_peak_C1
GO:0014015	positive regulation of gliogenesis	BP	4.002310269639626	0.04498563586817279	consensus_peak_C1
