test_index	y_test	OCR_proba_0	OCR_proba_1	OCR_proba_2	gene_counts_proba_0	gene_counts_proba_1	gene_counts_proba_2	consensus_peak_proba_0	consensus_peak_proba_1	consensus_peak_proba_2
17	0	0.7251074089112034	0.2511889647682161	0.02370362632058047	0.20026190870850216	0.7951286271982979	0.0046094640931999276	0.45376035473031756	0.5406107317868485	0.005628913482834019
18	1	0.028827463945502896	0.19950842565601015	0.771664110398487	0.18998014367684837	0.7947920688257689	0.015227787497382591	0.3170637379168986	0.3972494136701192	0.28568684841298225
19	1	0.4451592693788183	0.5319780192520476	0.022862711369134064	0.42016876019358856	0.5407063163619362	0.03912492344447516	0.31613020846794815	0.6751309578129766	0.008738833719075271
20	0	0.6377167826476041	0.24621096562665956	0.11607225172573639	0.5786512324257336	0.3611077148951447	0.060241052679121665	0.4206702822385567	0.40608231633460573	0.1732474014268376
21	1	0.0876510715144177	0.7747406583211754	0.13760827016440683	0.03925478703908416	0.9398613538384848	0.020883859122431122	0.06383836572938026	0.7774050219339433	0.15875661233667634
22	1	0.36219334125096586	0.6208079391037108	0.016998719645323342	0.3536474790007072	0.5279566319507384	0.11839588904855441	0.6494189063836875	0.34020610571542215	0.010374987900890418
23	1	0.019979377967145193	0.9627071298149584	0.017313492217896475	0.3393662717157449	0.6192076074986715	0.04142612078558346	0.025301191181844304	0.9482222289812506	0.02647657983690507
24	1	0.22322809615889716	0.752307824095503	0.024464079745599956	0.46952376849079697	0.4458423398517087	0.08463389165749434	0.8817319266347957	0.09628906440082029	0.021979008964384105
25	1	0.27658535619148056	0.7091341158283107	0.014280527980208804	0.3496883165264919	0.6467250852375505	0.0035865982359576474	0.04791159158375471	0.9518623776043817	0.00022603081186350137
26	1	0.7673237720486936	0.14766096287239985	0.08501526507890646	0.38036887032772465	0.6130563853937926	0.00657474427848269	0.32950759289892995	0.6694569231549066	0.001035483946163513
27	1	0.03753378447824104	0.9475075675218688	0.01495864799989026	0.34050833075067266	0.4252147853343395	0.234276883914988	0.0101817631930324	0.783193793238241	0.20662444356872667
28	1	0.314038007737037	0.6831901786671105	0.0027718135958525215	0.38063026521019205	0.5814351526439308	0.03793458214587708	0.8130600085055377	0.17512946973762475	0.011810521756837613
29	0	0.6008373723871926	0.38149653143834134	0.017666096174466135	0.4282762921402929	0.566502947292683	0.005220760567024159	0.6226138951702831	0.37619350898876797	0.0011925958409489863
30	1	0.5643990889230452	0.41282223647575117	0.022778674601203638	0.333046890038134	0.6407084068065974	0.02624470315526871	0.5887247661370312	0.4083032787872891	0.002971955075679627
31	1	0.4364813556928054	0.5416255876196253	0.021893056687569228	0.8600966690112828	0.13430911955027816	0.005594211438439012	0.5168259163667842	0.4639972956417835	0.019176787991432156
32	0	0.041504262332568556	0.9474108474002471	0.01108489026718433	0.2451812564962045	0.6780666526503047	0.0767520908534907	0.3141300936178628	0.6414233323860614	0.04444657399607579
33	2	0.0170050789436624	0.6034879585995742	0.37950696245676346	0.1414455574423462	0.46012366718404074	0.3984307753736131	0.07220460790758565	0.4416484677397527	0.4861469243526617
34	1	0.38110903111241407	0.4792326677010635	0.13965830118652237	0.4725032449596028	0.3831370798887926	0.1443596751516045	0.11982158012813458	0.6317653637421229	0.2484130561297425
35	1	0.027023304958534552	0.9545851954496869	0.018391499591778538	0.23826843894909286	0.6818557573353116	0.07987580371559559	0.07303341707725758	0.8697009261143598	0.05726565680838269
36	0	0.927150470635684	0.06860869944856766	0.004240829915748389	0.45612810613294547	0.4120415225930652	0.13183037127398928	0.8614682235140144	0.12659112355537183	0.011940652930613653
37	0	0.4848601996015966	0.4694869267557147	0.04565287364268877	0.586446103355707	0.40246322632139786	0.011090670322895119	0.38916605518952935	0.5969992932727666	0.013834651537704091
38	0	0.44498574644342065	0.5543450722363356	0.000669181320243808	0.21779728330353162	0.396147011056919	0.38605570563954933	0.25570318924919777	0.7434517550673071	0.0008450556834951778
39	0	0.26091837218565084	0.6604980662428322	0.07858356157151687	0.28644686984134804	0.6216878079549683	0.09186532220368382	0.22185490542339037	0.4602764622797548	0.31786863229685475
40	1	0.40218058212820623	0.5586195268190429	0.039199891052750915	0.02951724345931625	0.8955589971378598	0.07492375940282402	0.27444569025711485	0.6966212059359903	0.02893310380689478
41	1	0.6828424176363074	0.3115268883356704	0.005630694028022157	0.6043138711766514	0.3930721266015353	0.0026140022218132243	0.33364422620999407	0.6636060467669606	0.0027497270230454588
42	1	0.12185292855697076	0.5911581333591388	0.28698893808389053	0.04545392830693403	0.8139407071262593	0.14060536456680675	0.254831400651544	0.7368936445288434	0.008274954819612438
43	0	0.6245193331747668	0.3639369547638173	0.011543712061415898	0.5714784522012052	0.3582124944181532	0.07030905338064158	0.556411796156303	0.4430182434431961	0.000569960400500911
44	0	0.6581494864997727	0.3279458598174613	0.013904653682766095	0.4289006090737808	0.5649830715983216	0.006116319327897679	0.4559662464229224	0.5189197240213178	0.025114029555759712
45	0	0.9222578407037405	0.07441415102396597	0.0033280082722935713	0.6274119474121695	0.3435950934811121	0.028992959106718317	0.6567331393283758	0.3391566945354904	0.004110166136133741
46	0	0.7378516369548529	0.254505379903893	0.007642983141254159	0.5828483285661076	0.21576999185371326	0.2013816795801792	0.7856474794104201	0.21420406711031106	0.00014845347926887597
47	1	0.6063405457601473	0.37971535993595845	0.013944094303894226	0.27909926498301013	0.7109843402934825	0.009916394723507442	0.5663343972230587	0.42369461017247295	0.009970992604468371
48	1	0.12064696682061023	0.5488016401100624	0.33055139306932735	0.0761036901641654	0.7106204260022362	0.2132758838335984	0.08380418895913949	0.5623894125442512	0.3538063984966093
49	0	0.7789782387221597	0.2206317864723255	0.0003899748055149232	0.48876954612130485	0.4202751243942417	0.0909553294844535	0.9111358004524036	0.07809054238552912	0.0107736571620674
50	1	0.5050188301059003	0.45585227540205747	0.03912889449204231	0.35946135308804744	0.6068402036285876	0.033698443283365014	0.6414319819078985	0.3277645862441606	0.030803431847940908
51	0	0.5431191123049369	0.4551681696228253	0.0017127180722377644	0.23679275758742935	0.7563594947897303	0.006847747622840318	0.327574365954256	0.6528350067342424	0.019590627311501584
52	1	0.08010045388891458	0.828729222901464	0.0911703232096213	0.2373919811268047	0.7515905512235413	0.011017467649653917	0.41953558812844766	0.5041894526863019	0.07627495918525044
53	1	0.04883265572583403	0.9392035096024948	0.011963834671671192	0.18766381467891666	0.8010815697990292	0.011254615522054236	0.36245243785260106	0.6311420030630099	0.00640555908438898
54	1	0.33811178214547416	0.3665856782662929	0.295302539588233	0.27494738415365766	0.5586926155250163	0.16636000032132606	0.38427908539895245	0.3490139767537765	0.26670693784727106
55	1	0.06207222839650726	0.7846651532787958	0.15326261832469693	0.15573101591219388	0.574564654695437	0.2697043293923691	0.17358113981744483	0.5570118524299247	0.26940700775263055
56	1	0.012117409206053295	0.9120749980817986	0.07580759271214804	0.10523435872693038	0.7174072721332093	0.1773583691398604	0.26037687760162237	0.4500193096918408	0.2896038127065368
57	1	0.38753105129769816	0.28623567869619687	0.32623327000610497	0.5197329282157199	0.27408210862503624	0.2061849631592438	0.3037811269813805	0.6251141306410882	0.07110474237753121
58	1	0.09974007081352958	0.7088078764489466	0.19145205273752378	0.3117655508936306	0.5402926300263147	0.14794181908005474	0.06243369363814552	0.7616278599324812	0.17593844642937329
59	2	0.2797087046375519	0.1865513056960455	0.5337399896664027	0.15483915408135082	0.502860199232622	0.34230064668602705	0.14372143309111646	0.7084149429814303	0.14786362392745328
60	1	0.015214957440301902	0.9341757985165176	0.050609244043180485	0.058256370649149354	0.5650327098329645	0.37671091951788616	0.12580571804743176	0.5999937012806837	0.2742005806718845
61	2	0.05616581680557206	0.15769933434944217	0.7861348488449856	0.12422300414197134	0.5951524234076433	0.28062457245038536	0.10685113183788882	0.7091131170448038	0.18403575111730738
62	2	0.07762879532057393	0.7990851934160608	0.12328601126336529	0.3834144787136522	0.3425932851982358	0.273992236088112	0.27739284533324793	0.5806740437156076	0.14193311095114444
63	2	0.24637359226484346	0.5643163313991885	0.18931007633596816	0.24022978246145732	0.34074717310457414	0.4190230444339686	0.24721021532452922	0.49245642233578324	0.2603333623396875
64	1	0.306546859884347	0.5814717947124609	0.111981345403192	0.6257550297733011	0.21604570811095103	0.1581992621157479	0.36929255243206854	0.28904316713435135	0.34166428043358005
65	2	0.13314018184787546	0.7463034078542302	0.12055641029789436	0.2596507246887256	0.5579179498784135	0.18243132543286097	0.03814900668027315	0.6811673634450387	0.28068362987468815
66	2	0.22816936195622653	0.398651224366046	0.3731794136777275	0.06859891925800801	0.6009223684677679	0.33047871227422415	0.2296545534149399	0.5030174267674515	0.2673280198176085
67	1	0.1444225034799234	0.3627166507198894	0.49286084580018724	0.2736435585549578	0.6650926084008512	0.06126383304419105	0.27398783077112737	0.3915307123604383	0.3344814568684343
68	0	0.29004021671446467	0.6931616246444099	0.01679815864112537	0.1460635748715374	0.6969642916500419	0.15697213347842062	0.41906753423926907	0.43286824066179563	0.1480642250989353
69	2	0.09918244510468567	0.3685964456134659	0.5322211092818484	0.0684132257842494	0.3878899474096554	0.5436968268060952	0.44868124969258777	0.17538425916423525	0.375934491143177
70	1	0.20632917803882508	0.7196507146701446	0.07402010729103019	0.05941335845055037	0.577980766480198	0.36260587506925157	0.14139957763650665	0.696459106338542	0.16214131602495138
71	1	0.12506783300083668	0.8075653027559154	0.06736686424324778	0.2161728742667264	0.39519660199955836	0.38863052373371526	0.2824521032125957	0.42550947846509746	0.29203841832230687
72	0	0.2727088437804926	0.47275668399551146	0.2545344722239959	0.3533995367900138	0.4945090710984898	0.1520913921114965	0.6398576811498053	0.13160785387261523	0.22853446497757943
73	1	0.11559217665502974	0.8470707702681421	0.03733705307682812	0.07138217857167815	0.36684076461433146	0.5617770568139905	0.1162324419716411	0.4314377451864932	0.45232981284186574
74	2	0.37574304705768924	0.24674735058691435	0.3775096023553965	0.10547340111373593	0.24652155715600058	0.6480050417302635	0.28646374310655737	0.3080050976818855	0.40553115921155714
75	1	0.06459367591129518	0.8452462041526765	0.0901601199360284	0.45073796639559055	0.4067878706747874	0.14247416292962203	0.1633200116753555	0.6391064940554867	0.19757349426915785
76	1	0.3790172640719048	0.40019888871672	0.22078384721137526	0.37840581180143634	0.3292206511664166	0.2923735370321472	0.2995924496060579	0.5296268290419185	0.1707807213520236
77	0	0.21343016050776373	0.5347336213589918	0.2518362181332444	0.8172633498484293	0.08157932546823536	0.10115732468333542	0.10450521464598848	0.5867512403332373	0.3087435450207742
78	2	0.1317384341666004	0.6791720814294181	0.18908948440398154	0.2882022105822842	0.3346642530231261	0.37713353639458974	0.15145977090081372	0.7052941204207365	0.14324610867844975
79	2	0.34792160019932283	0.5710159589213378	0.08106244087933945	0.041830549797518886	0.5803584772312655	0.3778109729712156	0.09645072679166489	0.7107335923981216	0.19281568081021336
80	0	0.2446338674492455	0.6354794455962218	0.1198866869545326	0.3566645805131072	0.562729350984752	0.08060606850214085	0.2706440579686696	0.5411204306425023	0.18823551138882819
81	1	0.07536966264741825	0.6416201613357334	0.28301017601684836	0.26078841248463497	0.6438290564368471	0.09538253107851792	0.3467527061213538	0.30867066535039855	0.34457662852824783
82	1	0.5705537591501942	0.2281952498983885	0.20125099095141727	0.06454110364395524	0.4356493731990349	0.4998095231570098	0.16722962719802667	0.5204734622817315	0.31229691052024183
83	2	0.23246353422340627	0.7315712318245523	0.035965233952041285	0.18621218689775587	0.7972116063462762	0.016576206755967958	0.4986177518208117	0.3252195145467076	0.17616273363248072
84	1	0.1504889233146686	0.6869134280644001	0.1625976486209311	0.16410145129744783	0.6894867199631668	0.14641182873938532	0.05397453616183101	0.7027671547480953	0.24325830909007382
85	1	0.11727733025704819	0.7667438685905363	0.11597880115241543	0.26468596217792384	0.6847485952479925	0.050565442574083797	0.4893451544072187	0.4510157988137869	0.05963904677899439
86	2	0.2129113918505936	0.5893719414690762	0.19771666668033006	0.11392702309084572	0.7015908406517452	0.18448213625740903	0.015516384933476615	0.5849158539615901	0.39956776110493336
87	1	0.31234580507168247	0.4257234567445434	0.26193073818377416	0.2027988901095148	0.45856869399480016	0.33863241589568505	0.053248252456373824	0.6710216009264953	0.2757301466171309
88	1	0.23672069016005284	0.6714513276993658	0.09182798214058145	0.3406456208209236	0.3905227714780175	0.2688316077010589	0.13516278519955285	0.6794284863312129	0.18540872846923415
89	0	0.07829039614777523	0.6228042998569823	0.29890530399524234	0.19612753748756573	0.5443074240446655	0.25956503846776874	0.0754915934023944	0.7706923866070693	0.15381601999053626
90	0	0.23752611258018794	0.6269814530846689	0.13549243433514313	0.2889632593977065	0.6289369755517685	0.08209976505052498	0.30950515676497103	0.6058522003764925	0.08464264285853657
