	bladder	bonemarrow	brain	breast	colonsigmoid	colontransverse	heart	hypothalamus	kidney	liver	lung	lymphnodes	ovary	pancreas	placenta	prostate	skin	stomach	testis
EPI-538_XH-HFR	0.04591656007356009	0.08727172637225132	0.044703025516190646	0.05054055788172946	0.06011441346995497	0.06241979806751475	0.04706902297953627	0.04234700477646725	0.047067884747925455	0.052686063847452336	0.056306354197131425	0.061142712738871695	0.04396512029446035	0.04857881681040514	0.04669494526265586	0.046048361973349425	0.04914518751214293	0.06251100552323821	0.0454714379551626
EPI-538_XH-HW	0.04576257086515887	0.08798432731863458	0.04412484092461872	0.04976413775848281	0.060804220908427825	0.06346786179673644	0.046809992175300956	0.04211724829344467	0.047122324866524415	0.05419578786192096	0.05584263163502556	0.06001230000358807	0.04376767809942202	0.04878067320939576	0.04709194613678324	0.04596537260868759	0.04839743803945258	0.06291408573128757	0.04507456176710737
EPI-538_XH-HXC	0.044384635001597554	0.10275257530381714	0.04347397476174895	0.049768644684772954	0.06168400239572938	0.06424118481793407	0.04523865136082889	0.04105743746928627	0.044760868795895324	0.04869474535397135	0.05740107724277064	0.06505837212194196	0.041713816897442295	0.045563923422222485	0.04547410516786088	0.044480101964477985	0.048269963831983835	0.061933412327819654	0.04404850707789836
EPI-538_XH-HZK	0.04606129550221343	0.08940010866140491	0.043563790647446775	0.05021099413730715	0.06119295991154348	0.0636453610368817	0.04682041387305505	0.041857631501577064	0.04625659822370013	0.05109345195218542	0.05685894584208487	0.06161258755772855	0.04393642034957897	0.048148910947217106	0.047029736809573806	0.04578964859290427	0.048819124589825506	0.06324698650621306	0.04445503335755873
EPI-538_XH-JGY	0.045955705443189214	0.0865730007729713	0.043987131496813055	0.049908747441526576	0.06176291998886757	0.06443947771433282	0.04693239479315161	0.042186467928672755	0.04669495278095687	0.0517654310112475	0.05644621390083472	0.061057603892644655	0.0439311787224478	0.04847032269544986	0.04727397591976133	0.04588776817952378	0.04848651281725106	0.06353518387317635	0.04470501062718109
EPI-538_XH-LGH	0.04558259498931369	0.08760753173648	0.04434120128130353	0.05025801856112921	0.061124083504130705	0.06360033874850518	0.04668619157991039	0.0422631632264265	0.04669027330510268	0.052712064146745424	0.05664480300898005	0.0620466005108654	0.043352777383181766	0.04821846263929817	0.046420984469721704	0.04575350345180895	0.04889868951078226	0.0625878189250819	0.0452108990212325
EPI-538_XH-LGZ	0.04518716996641676	0.09537815367506654	0.043358829017362335	0.049438432365257204	0.06097703283775249	0.06341364713834786	0.046010302564237306	0.04140948520860843	0.04636139842562446	0.053404702516367385	0.055881437000824596	0.060596793819341535	0.04299398707271193	0.048159090347461096	0.04694737232556436	0.045339125124445046	0.04809702141790026	0.06277037707292138	0.044275642103789176
EPI-538_XH-LHL	0.04542350620269631	0.08719301399298557	0.04274649510709357	0.049715592512014024	0.06220806997209933	0.06455736327711005	0.04612108425162976	0.04087237594798713	0.04673813215108651	0.056270272066347396	0.056834936594377106	0.061815314876275576	0.04286407713164544	0.048714921994264936	0.045956084464761154	0.04565190476603218	0.04867938374574	0.06358642212979679	0.04405104881605716
EPI-538_XH-LHY	0.04631042101874884	0.07832538509095696	0.0457625860013448	0.05112312852095627	0.06016212525487753	0.06294879857044275	0.0476353876097181	0.043304247381073774	0.04777050085837261	0.053565183533498956	0.05620525508452448	0.060606120117527626	0.044528574208807195	0.0495785667019541	0.047209060248095215	0.04656393788996135	0.049190456869017005	0.06308502211071491	0.04612524292940767
EPI-538_XH-LJF	0.04578182746114613	0.06642045338092949	0.045843297361811634	0.049685707902878413	0.06241289355101042	0.06532902712135086	0.047272202264804185	0.04327362612487965	0.04963135594549038	0.06527858108503869	0.05418372226623259	0.056140473937474365	0.04373963074678268	0.05241813158793835	0.04631386117147175	0.04742925329565574	0.04791706282643884	0.06440719567275702	0.04652169629590874
