sample	true_state	OCR_pseudotime	OCR_score_0	OCR_score_1	gene_counts_pseudotime	gene_counts_score_0	gene_counts_score_1	consensus_peak_pseudotime	consensus_peak_score_0	consensus_peak_score_1	window_pseudotime	window_score_0	window_score_1	y_test
EPI-538_XH-LWX	S01	0.2814756035804748	0.1588628433089321	0.17218568815906907	0.1550678610801696	0.0	0.05085522767062957	0.2528218328952789	0.04773192908785857	0.09566009104703746	0.2653332352638244	0.08488064679330476	0.009867803462773385	1
EPI-538_XH-LXM	S00	0.3040834665298462	0.14972383213030577	0.14686952799718844	0.3865288496017456	0.14355972510622936	0.07888158608663788	0.3285039365291595	0.014412776523294092	0.035100151745066026	0.2904432713985443	0.16810507058484006	0.0782095518819431	0
EPI-538_XH-LXQ	S11	0.2292492389678955	0.23557599962359324	0.07225069962956368	0.2857248187065124	0.2841671719510675	0.22198487609560866	0.1950793266296386	0.11198099936915315	0.2089174941489243	0.4452854692935943	0.444869272448674	0.42887656075838904	2
EPI-538_XH-LYH	S01	0.2616197168827057	0.252894651605101	0.22931591180694944	0.1870093345642089	0.08893818388093831	0.12612300970369233	0.152995303273201	0.13622260291876948	0.09260380821289922	0.1089399307966232	0.212465430244327	0.36675374481763273	1
EPI-538_XH-LYM	S11	0.2737035453319549	0.5853825557663839	0.39774351399165186	0.6192091107368469	0.3876081147651127	0.5702648658913958	0.1106305792927742	0.32237462712238074	0.4357814383228361	0.6504684686660767	0.48225294709968336	0.488156587534569	2
EPI-538_XH-MBL	S10	0.5661887526512146	0.30292905557815875	0.29492976380404057	0.3587352335453033	0.21005667142509385	0.12128775720870989	0.2005643397569656	0.10829186376827375	0.16479893778452093	0.431644856929779	0.27073201906079375	0.2483399600756628	1
EPI-538_XH-MCR	S00	0.3537295460700989	0.1370999685154524	0.14509912176447023	0.4326202869415283	0.21184741962622752	0.050005118009340724	0.3287768363952636	0.12098728912279601	0.12440097480060923	0.4431833922863006	0.17119274786005134	0.332714550197161	0
EPI-538_XH-MJJ	S01	0.0941684320569038	0.12500210143132698	0.1544200163430474	0.199510172009468	0.06223260535311796	0.056174144522389655	0.2575483918190002	0.04601292768693418	0.043012139605461505	0.0669912695884704	0.2161331644702952	0.015296662324230487	1
EPI-538_XH-MYD	S10	0.432878166437149	0.4493898750983932	0.36627482635711733	0.2633090913295746	0.14027228350923465	0.34827351229375353	0.2225676029920578	0.2101328758913251	0.29753661529162273	0.3108992874622345	0.3202991641791814	0.44562250054440117	1
EPI-538_XH-MZH	S10	0.3841775953769684	0.22371834971488383	0.13270771784883176	0.1443975120782852	0.24158639397053175	0.0691566964934023	0.2797457277774811	0.011891263358415649	0.2567961610790854	0.2070574462413787	0.25994788736058977	0.18373469485029245	1
EPI-538_XH-QJ	S11	0.3383845388889313	0.3634878455079999	0.19785811393761948	0.0658210441470146	0.06633447282389718	0.0	0.0708770826458931	0.0673180012471562	0.22485046240429987	0.2635387182235718	0.16267121606572182	0.3062436506000561	2
EPI-538_XH-RXJ	S01	0.1853059530258178	0.3754236025769935	0.2778218057988449	0.3140667974948883	0.461115650805531	0.27225219790654376	0.1994725316762924	0.08904326365655398	0.17968732489478284	0.4387272298336029	0.33878242630588856	0.3792062584171906	1
EPI-538_XH-SLX	S10	0.1726246625185012	0.29844473107795644	0.2813692738233564	0.4217276275157928	0.3475584175623534	0.17290391367076335	0.1525315940380096	0.1594723177145628	0.17685871071826212	0.3784943222999573	0.35446944143455933	0.3877216487027269	1
EPI-538_XH-WFH	S01	0.340218722820282	0.22035171915607352	0.13779562342918114	0.1722741723060608	0.10253851699426685	0.2735395782100988	0.108447641134262	0.09293844464399366	0.18461406088085605	0.2534877955913543	0.3129991582072644	0.2193373865514286	1
EPI-538_XH-WJQ	S01	0.4282635748386383	0.6043765062592776	0.4872936030798564	0.3567891120910644	0.36110555464330185	0.25250644234095554	0.0890572220087051	0.1527765886272421	0.2266350348792291	0.481078565120697	0.687457821589968	0.6926510212190327	1
EPI-538_XH-WR	S11	0.2777316570281982	0.44098153467623213	0.35401659923911155	0.1806773692369461	0.17496603920046822	0.22672825575126598	0.3654777109622955	0.31224849466170385	0.29076623078686564	0.5160627365112305	0.38337096042347235	0.43511635354230094	2
EPI-538_XH-WSP	S00	0.147480696439743	0.36916224021016747	0.37702967908868623	0.1923797875642776	0.4068020588933287	0.23081347813961658	0.1708934158086776	0.25970994177059387	0.2354553796742265	0.1643401235342025	0.45564130942822556	0.4737167881701823	0
EPI-538_XH-WTL	S00	0.3763988316059112	0.07085722011640955	0.049041015731540606	0.2610795199871063	0.09133734975185476	0.044372020253868355	0.3775906860828399	0.0113933849627993	0.14932101956418004	0.0	0.10565491057055608	0.06840902515945448	0
